"Route","Url","Status","EffectiveUrl","ElapsedMs","BadGlyphCount","BadGlyphSample"
"/","https://www.emersoneims.com/","200","https://www.emersoneims.com/","876","0",""
"/about-us","https://www.emersoneims.com/about-us","200","https://www.emersoneims.com/about-us","1665","0",""
"/api/health","https://www.emersoneims.com/api/health","200","https://www.emersoneims.com/api/health","1730","0",""
"/brands","https://www.emersoneims.com/brands","200","https://www.emersoneims.com/brands","1477","0",""
"/careers","https://www.emersoneims.com/careers","200","https://www.emersoneims.com/careers","2147","0",""
"/contact","https://www.emersoneims.com/contact","200","https://www.emersoneims.com/contact","1396","0",""
"/diagnostics","https://www.emersoneims.com/diagnostics","200","https://www.emersoneims.com/diagnostics","1445","0",""
"/diagnostic-suite","https://www.emersoneims.com/diagnostic-suite","200","https://www.emersoneims.com/diagnostic-suite","1265","0",""
"/generators","https://www.emersoneims.com/generators","200","https://www.emersoneims.com/generators","1368","0",""
"/generators/case-studies","https://www.emersoneims.com/generators/case-studies","200","https://www.emersoneims.com/generators/case-studies","1361","0",""
"/generators/maintenance","https://www.emersoneims.com/generators/maintenance","200","https://www.emersoneims.com/generators/maintenance","1295","0",""
"/generators/used","https://www.emersoneims.com/generators/used","200","https://www.emersoneims.com/generators/used","1327","0",""
"/ke/nairobi","https://www.emersoneims.com/ke/nairobi","200","https://www.emersoneims.com/ke/nairobi","1655","0",""
"/kenya/nairobi","https://www.emersoneims.com/kenya/nairobi","200","https://www.emersoneims.com/kenya/nairobi","1284","0",""
"/manifest.webmanifest","https://www.emersoneims.com/manifest.webmanifest","200","https://www.emersoneims.com/manifest.webmanifest","1050","0",""
"/privacy","https://www.emersoneims.com/privacy","200","https://www.emersoneims.com/privacy","1291","0",""
"/robots.txt","https://www.emersoneims.com/robots.txt","200","https://www.emersoneims.com/robots.txt","2177","0",""
"/service","https://www.emersoneims.com/service","200","https://www.emersoneims.com/service","1611","0",""
"/service/generators","https://www.emersoneims.com/service/generators","200","https://www.emersoneims.com/service/generators","1557","0",""
"/services","https://www.emersoneims.com/services","200","https://www.emersoneims.com/services","1338","0",""
"/sitemap.xml","https://www.emersoneims.com/sitemap.xml","200","https://www.emersoneims.com/sitemap.xml","1094","0",""
"/solar","https://www.emersoneims.com/solar","200","https://www.emersoneims.com/solar","1328","0",""
"/solution","https://www.emersoneims.com/solution","200","https://www.emersoneims.com/solution","1378","0",""
"/solution/generators","https://www.emersoneims.com/solution/generators","200","https://www.emersoneims.com/solution/generators","1319","0",""
"/solution/solar","https://www.emersoneims.com/solution/solar","200","https://www.emersoneims.com/solution/solar","1264","0",""
"/terms","https://www.emersoneims.com/terms","200","https://www.emersoneims.com/terms","1314","0",""
"/test-minimal","https://www.emersoneims.com/test-minimal","404","https://www.emersoneims.com/test-minimal","1295","0",""
"/test-page","https://www.emersoneims.com/test-page","404","https://www.emersoneims.com/test-page","581","0",""
